wavelength,flux
198.766174,7.808230e-21
198.903540,7.758190e-21
199.040894,7.670854e-21
199.178259,7.685018e-21
199.315625,7.636388e-21
199.452991,7.611886e-21
199.590356,7.711536e-21
199.727722,7.799464e-21
199.865088,7.691208e-21
200.002454,7.467749e-21
200.139819,7.587440e-21
200.277185,7.709042e-21
200.414551,7.625031e-21
200.551929,7.624487e-21
200.689294,7.613037e-21
200.826660,7.535076e-21
200.964038,7.670134e-21
201.101416,7.418515e-21
201.238782,7.320451e-21
201.376160,7.430683e-21
201.513538,7.516678e-21
201.650903,7.528828e-21
201.788281,7.535695e-21
201.925659,7.534126e-21
202.063037,7.531988e-21
202.200415,7.516866e-21
202.337793,7.625273e-21
202.475171,7.635221e-21
202.612561,7.493315e-21
202.749939,7.591511e-21
202.887317,7.706154e-21
203.024707,7.781079e-21
203.162085,7.767794e-21
203.299475,7.573713e-21
203.436853,7.577740e-21
203.574243,7.590605e-21
203.711621,7.551990e-21
203.849011,7.574377e-21
203.986401,7.589865e-21
204.123792,7.501413e-21
204.261169,7.679634e-21
204.398560,7.798807e-21
204.535950,7.922328e-21
204.673340,7.992780e-21
204.810742,7.950765e-21
204.948120,7.935375e-21
205.085522,7.938021e-21
205.222900,7.917191e-21
205.360303,7.835514e-21
205.497705,7.619779e-21
205.635083,7.551263e-21
205.772485,7.658954e-21
205.909888,7.702987e-21
206.047290,7.809995e-21
206.184668,7.668114e-21
206.322070,7.554803e-21
206.459473,7.621458e-21
206.596875,7.565829e-21
206.734277,7.561925e-21
206.871680,7.683612e-21
207.009082,7.781445e-21
207.146484,7.804517e-21
207.283887,7.763422e-21
207.421289,7.806008e-21
207.558691,7.927578e-21
207.696094,8.022398e-21
207.833496,8.039067e-21
207.970898,7.965733e-21
208.108301,7.951704e-21
208.245703,8.042635e-21
208.383106,8.046444e-21
208.520532,7.996146e-21
208.657935,8.056210e-21
208.795337,8.052281e-21
208.932739,8.035362e-21
209.070166,7.977993e-21
209.207568,8.019725e-21
209.344971,7.963310e-21
209.482397,7.845981e-21
209.619800,7.890281e-21
209.757202,7.854839e-21
209.894629,7.920977e-21
210.032031,7.990210e-21
210.169458,7.904015e-21
210.306860,7.932205e-21
210.444263,7.946118e-21
210.581690,8.093176e-21
210.719116,8.013247e-21
210.856519,7.745186e-21
210.993945,7.661583e-21
211.131348,7.681527e-21
211.268774,7.706716e-21
211.406201,7.718833e-21
211.543604,7.963973e-21
211.681030,8.133356e-21
211.818457,8.104260e-21
211.955859,8.076115e-21
212.093286,8.088992e-21
212.230713,8.070181e-21
212.368115,8.001654e-21
212.505542,7.907624e-21
212.642969,7.796288e-21
212.780395,7.801083e-21
212.917822,7.689735e-21
213.055249,7.502827e-21
213.192651,7.291160e-21
213.330078,7.077866e-21
213.467505,6.844852e-21
213.604932,7.007386e-21
213.742358,7.449959e-21
213.879785,7.562538e-21
214.017212,7.582496e-21
214.154639,7.755467e-21
214.292065,7.915537e-21
214.429492,7.969097e-21
214.566919,8.008954e-21
214.704346,7.891898e-21
214.841772,7.888609e-21
214.979199,7.897163e-21
215.116650,7.780383e-21
215.254077,7.838394e-21
215.391504,8.024977e-21
215.528931,8.100300e-21
215.666357,8.120097e-21
215.803784,8.065981e-21
215.941235,7.823813e-21
216.078662,7.799823e-21
216.216089,7.764993e-21
216.353516,7.866363e-21
216.490967,7.871203e-21
216.628394,7.744701e-21
216.765820,7.671148e-21
216.903247,7.596292e-21
217.040698,7.590366e-21
217.178125,7.718136e-21
217.315552,7.803521e-21
217.453003,7.638002e-21
217.590430,7.419927e-21
217.727881,7.620796e-21
217.865308,7.803946e-21
218.002734,7.894327e-21
218.140186,8.017298e-21
218.277612,8.149141e-21
218.415064,7.984208e-21
218.552490,7.848156e-21
218.689941,7.771247e-21
218.827368,7.658665e-21
218.964819,7.851568e-21
219.102246,8.017553e-21
219.239697,7.952581e-21
219.377124,8.043944e-21
219.514575,8.246104e-21
219.652026,8.288138e-21
219.789453,8.277564e-21
219.926904,8.241294e-21
220.064331,8.159842e-21
220.201782,8.044204e-21
220.339233,8.213278e-21
220.476660,8.212501e-21
220.614111,7.979709e-21
220.751563,7.748431e-21
220.888989,7.788191e-21
221.026440,7.679256e-21
221.163892,7.522226e-21
221.301318,7.655077e-21
221.438770,7.553367e-21
221.576221,7.625305e-21
221.713672,7.604270e-21
221.851099,7.729442e-21
221.988550,7.794582e-21
222.126001,7.691171e-21
222.263452,7.785391e-21
222.400879,7.612215e-21
222.538330,7.576695e-21
222.675781,7.644773e-21
222.813232,7.601553e-21
222.950684,7.886170e-21
223.088110,8.078505e-21
223.225562,7.997711e-21
223.363013,8.109910e-21
